retailer_id,image_url,filename
SLGE009,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SLGE009.jpg,SLGE009.jpg
SLGE010,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SLGE010.jpg,SLGE010.jpg
SLGE007,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SLGE007.jpg,SLGE007.jpg
SMRI005,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SMRI005.jpg,SMRI005.jpg
SMRI007,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SMRI007.jpg,SMRI007.jpg
"SPEN533/SCHN154",https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SPEN533_SCHN154.jpg,SPEN533_SCHN154.jpg
SRNG462,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SRNG462.jpg,SRNG462.jpg
SSBR043,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR043.jpg,SSBR043.jpg
SSBR033,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR033.jpg,SSBR033.jpg
SSBR034,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR034.jpg,SSBR034.jpg
SSBR045,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR045.jpg,SSBR045.jpg
SSBR032,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR032.jpg,SSBR032.jpg
SSBR030,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR030.jpg,SSBR030.jpg
SSBR031,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSBR031.jpg,SSBR031.jpg
SSEA003,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSEA003.jpg,SSEA003.jpg
SSEA004,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSEA004.jpg,SSEA004.jpg
SSEA006,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSEA006.jpg,SSEA006.jpg
SSEA005,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSEA005.jpg,SSEA005.jpg
SSNL034,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL034.jpg,SSNL034.jpg
SSNL044,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL044.jpg,SSNL044.jpg
SSNL039,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL039.jpg,SSNL039.jpg
SSNL040,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL040.jpg,SSNL040.jpg
SSNL043,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL043.jpg,SSNL043.jpg
